text_size_bits,image_capacity_kb,psnr,mse,ssim,image_quality
983072,625.1953125,57.75819909,0.108958333,0.998403333,good
1351784,625.1953125,56.36880011,0.150037684,0.997805915,good
1802344,625.1953125,55.12462248,0.199810411,0.997115862,good
2130024,625.1953125,54.39518354,0.236353483,0.996692117,good
2457696,625.1953125,53.77447255,0.272667331,0.9963526,good
3686496,625.1953125,52.01374552,0.408983521,0.995377141,good
4243560,625.1953125,51.40306821,0.470731803,0.994827198,good
4628584,625.1953125,51.02267625,0.513822048,0.994300863,good
5087328,625.1953125,50.64099452,0.561023313,0.993742756,good
45204,489.84375,70.64750888,0.005601824,0.999937443,good
123332,489.84375,66.2590498,0.015387759,0.999775266,good
243104,489.84375,63.31094578,0.030337919,0.999529388,good
521517,489.84375,60.00648466,0.06492798,0.998963407,good
739398,489.84375,58.48739515,0.092117225,0.998544693,good
985632,489.84375,57.24329799,0.122673445,0.998111049,good
1355280,489.84375,55.84890342,0.169118072,0.997465404,good
1806939,489.84375,54.60824735,0.225037879,0.996687167,good
2130080,489.84375,53.89232507,0.265367574,0.996141091,good
2464010,489.84375,53.25588751,0.307249801,0.995565799,good
3695954,489.84375,51.49572409,0.460795205,0.994798285,good
3997856,489.84375,51.15942391,0.497895235,0.994685888,good
60128,489.84375,68.93392972,0.008311653,0.999896334,good
164064,489.84375,64.57028568,0.022701356,0.999659176,good
324128,489.84375,61.6229893,0.044748804,0.999298012,good
693632,489.84375,58.3180325,0.095780502,0.998483049,good
983424,489.84375,56.79711626,0.13594672,0.997910546,good
1310944,489.84375,55.54874005,0.181220096,0.997283126,good
1802464,489.84375,54.17059343,0.248897777,0.996342888,good
2403200,489.84375,52.9196138,0.331985397,0.995206682,good
2840096,489.84375,52.19317362,0.392430722,0.994605827,good
3277024,489.84375,51.57019765,0.452960776,0.994366504,good
3932384,489.84375,50.80280538,0.540505134,0.994170023,good
45072,489.84375,70.15506646,0.006274422,0.999930179,good
1222912,489.84375,65.79703913,0.017114982,0.999750598,good
242976,489.84375,62.82928298,0.033896282,0.99947527,good
520152,489.84375,59.5136669,0.072730014,0.998839442,good
737488,489.84375,57.99565301,0.103160885,0.998372119,good
983072,489.84375,56.74979209,0.137436204,0.997885952,good
1351784,489.84375,55.36007531,0.189266098,0.997170015,good
1802344,489.84375,54.11326336,0.252205193,0.996298714,good
2130024,489.84375,53.38605373,0.298177582,0.995680657,good
2457696,489.84375,52.7652733,0.343995714,0.995052684,good
3686496,489.84375,51.00513893,0.515901116,0.994188269,good
3973152,489.84375,50.71253368,0.551857556,0.994081502,good
45203,627.5390625,71.69426515,0.004402039,0.999955456,good
243104,627.5390625,64.38257023,0.023704093,0.999670567,good
521503,627.5390625,61.07818469,0.050729653,0.999274661,good
739421,627.5390625,59.57260104,0.071749728,0.998967678,good
985644,627.5390625,58.32256319,0.095680633,0.998617932,good
1355262,627.5390625,56.93558967,0.131680478,0.99809787,good
1806961,627.5390625,55.67991163,0.17582847,0.997462814,good
2130080,627.5390625,54.96451653,0.207314037,0.997028701,good
2464027,627.5390625,54.33055719,0.239896903,0.996630074,good
3695974,627.5390625,52.56948966,0.359858193,0.99596401,good
4243616,627.5390625,51.97246592,0.412889434,0.995731817,good
4640469,627.5390625,51.58676813,0.4512358,0.995538525,good
5128352,627.5390625,51.1519542,0.498752334,0.995127877,good
60128,627.5390625,70.02606867,0.006463585,0.99992763,good
324128,627.5390625,62.69408346,0.034968098,0.999508345,good
693632,627.5390625,59.39493802,0.074745759,0.998928215,good
983424,627.5390625,57.87207257,0.106138539,0.998470504,good
1310944,627.5390625,56.62398079,0.14147584,0.997961004,good
1802464,627.5390625,55.24393018,0.194396008,0.99720135,good
2403200,627.5390625,53.99197197,0.259348156,0.996349046,good
2840096,627.5390625,53.26633675,0.306511438,0.99593436,good
3277024,627.5390625,52.6469687,0.353495176,0.995729817,good
4915424,627.5390625,50.89253104,0.529452809,0.994825939,good
45072,627.5390625,71.21213761,0.004918884,0.999950597,good
242976,627.5390625,63.86969092,0.02667542,0.999630748,good
520152,627.5390625,60.54695566,0.057330377,0.999185978,good
737488,627.5390625,59.0201626,0.081482454,0.998835853,good
983072,627.5390625,57.78039171,0.108402972,0.998444974,good
1351784,627.5390625,56.39423301,0.149161609,0.99786017,good
1802344,627.5390625,55.14306762,0.198963585,0.997149132,good
2130024,627.5390625,54.4204018,0.234985022,0.996655318,good
2457696,627.5390625,53.80088252,0.271014239,0.996218684,good
3686496,627.5390625,52.0368601,0.406812558,0.995460796,good
4243560,627.5390625,51.42854437,0.467978525,0.99519364,good
4628584,627.5390625,51.05035369,0.51055789,0.994980708,good
5128224,627.5390625,50.63172804,0.562221639,0.994538126,good
