Text Size (bits),Embedding Capacity (kb),Bps,SNR (dB),MSE,Stego Audio Quality,SNR Quality,MSE Quality
739415,128.0,2,44.6,0.927415,good,bad,bad
985641,128.0,2,43.39,1.22442,good,bad,bad
1034877,128.0,2,43.18,1.285887,good,bad,bad
45200,123.0,1,64.0,0.01128,good,good,good
123347,123.0,1,59.65,0.03075,good,good,good
243104,123.0,1,56.72,0.06038,good,good,acceptable
520352,123.0,1,53.42,0.129004,good,acceptable,acceptable
739367,123.0,1,51.9,0.183134,good,acceptable,acceptable
985696,123.0,1,50.64,0.244753,good,acceptable,acceptable
45202,246.0,2,59.27,0.033555,good,good,good
123329,123.0,1,55.28,0.084073,good,acceptable,acceptable
243104,246.0,2,52.14,0.173226,good,acceptable,acceptable
520352,246.0,2,48.87,0.367857,good,acceptable,acceptable
739367,246.0,2,47.35,0.522162,good,acceptable,acceptable
985686,246.0,2,46.12,0.693212,good,bad,bad
1355221,246.0,2,44.71,0.959582,good,bad,bad
1806973,246.0,2,43.45,1.28253,good,bad,bad
2004115,246.0,2,43.0,1.42281,good,bad,bad
45195,33.6,1,58.55,0.041053,good,good,good
123343,33.6,1,54.2,0.111728,good,acceptable,acceptable
243104,33.6,1,51.24,0.220808,good,acceptable,acceptable
45200,67.2,2,54.19,0.111976,good,acceptable,acceptable
123343,67.2,2,49.78,0.309432,good,acceptable,acceptable
243104,67.2,2,46.52,0.611321,good,bad,bad
520352,67.2,2,43.49,1.315009,good,bad,bad
45200,1293.6,1,73.87,0.001082,good,good,good
123332,1293.6,1,69.59,0.002899,good,good,good
243104,1293.6,1,66.64,0.00572,good,good,good
739388,1293.6,1,61.79,0.017446,good,good,good
1355217,1293.6,1,59.16,0.031994,good,good,good
2130080,1293.6,1,57.2,0.050241,good,good,good
3695959,1293.6,1,54.8,0.087255,good,acceptable,acceptable
4640503,1293.6,1,53.82,0.109491,good,acceptable,acceptable
5324960,1293.6,1,53.22,0.125588,good,acceptable,acceptable
6981215,1293.6,1,52.04,0.164668,good,acceptable,acceptable
9011360,1293.6,1,50.93,0.212612,good,acceptable,acceptable
10240160,1293.6,1,50.38,0.241673,good,acceptable,acceptable
45193,2587.2,2,69.18,0.003185,good,good,good
123337,2587.2,2,65.06,0.008224,good,good,good
520352,2587.2,2,59.2,0.031725,good,good,good
985651,2587.2,2,56.51,0.058913,good,acceptable,acceptable
1806984,2587.2,2,53.89,0.107579,good,acceptable,acceptable
2464017,2587.2,2,52.57,0.145917,good,acceptable,acceptable
4243616,2587.2,2,50.21,0.251242,good,acceptable,acceptable
5100434,2587.2,2,49.41,0.301691,good,acceptable,acceptable
10240160,2587.2,2,46.39,0.60558,good,bad,bad
14783783,2587.2,2,44.8,0.872756,good,bad,bad
